Alimento,Medida usual,g ou ml,CHO (g),"Calorias (kcal)"
Iogurte Corpus® de morango light,garrafinha,170,8,69
Iogurte Dan up®,garrafinha,180,28,157
Iogurte de frutas (média),pote,100,17,90
Iogurte de frutas light (média),pote,100,7,42
Iogurte Grego Nestlé® light,pote,90,10,78
Iogurte Grego Nestlé® tradicional,pote,100,15,113
Iogurte Grego Vigor®,pote,100,16,151
Iogurte Grego Vigor® zero,pote,100,5,49
Iogurte Molico® total cálcio líquido (média),garrafinha,170,8,73
Iogurte Molico® total cálcio polpa (média),pote,100,6,42
Iogurte natural c/ mel,copo,200,36,225
Iogurte natural desnatado (Fiore®),copo,140,6,45
Iogurte natural desnatado (média),copo,185,12,85
Iogurte natural integral (média),copo,200,12,142
Iogurte petit suisse (média),unidade,45,9,71
Isca de carne de porco,colher de sopa cheia,30,0,67
Isca frita de pirarucu,escumadeira cheia,100,16,258
Jabuticaba,unidade,5,1,2
Jaca,bago médio,12,1,3
Jambo,unidade média,40,5,22
Jambu cozido,colher de sopa cheia,15,2,8
Jamelão ou jambolão,unidade média,10,1,4
Jaraqui cru,pedaço médio,100,0,129
Jenipapo,pedaço médio,100,26,113
Jiló,colher (sopa) cheia,60,5,31
Joelho de porco (Einsbein®),porção,100,0,215
Kafta na bandeja (Habib’s®),porção,250,14,300
Kani kama cru,unidade,16,0,13
Kanimaki,unidade,15,4,20
Kappamaki de pepino,unidade,15,4,18
Karo,colher de sopa cheia,15,12,49
Kasespatzle (macarrão com queijo),pegador,130,20,198
Ketchup de tomate,colher de sopa cheia,20,5,23
Kinder ovo® maxi (Ovo de Páscoa),porção,25,13,143
Kiwi,unidade média,76,11,51
Lagosta à Thermidor,porção,100,13,460
Laranja lima,unidade media,90,10,41
Lasanha à bolonhesa,escumadeira,170,27,355
Lasanha de bacalhau e espinafre,porção,200,42,503
Leite condensado,colher de sopa,15,8,49
Leite condensado desnatado,colher de sopa,15,9,42
Leite de cabra integral,copo duplo cheio,240,13,223
Leite de coco industrializado,garrafa pequena,200,11,516
Leite de coco industrializado light,garrafa pequena,200,6,250
Leite de soja Ades®,copo,200,8,82
Leite de soja zero Ades®,copo,200,3,59
Leite de vaca desnatado,copo duplo cheio,240,12,84
Leite de vaca desnatado em pó,colher (sopa) cheia,10,5,35
Leite de vaca integral em pó,colher (sopa) cheia,16,6,80
Leite de vaca integral pasteurizado,copo duplo cheio,240,12,141
Lentilha cozida,colher sopa (cheia),18,3,19
Licor,cálice,20,6,62
Limão,colher de sopa cheia,12,1,4
"Limão, geléia de",colher de sopa cheia,15,1,7
Limonada s/ açúcar,copo,200,3,10
Língua de boi cozida,fatia média,30,0,94
Língua de gato Kompenhagen®,unidade,6,3,36
Linguado assado,posta média,120,0,140
Linguiça calabresa,unidade,40,0,146
Linguiça calabresa defumada,unidade,40,0,146
Linguiça de frango,gomo,60,0,146
Linguiça de peru,gomo,60,0,83
Linguiça paio,unidade,160,0,363
Lombo de porco assado,pedaço grande,120,0,252
Lombo de vitela assado/ cozido,pedaço médio,50,0,113
Lula cozida,unidade média,80,0,74
M&M®,colher de sopa,12,9,61
M&M´s® amendoim,colher de sopa,12,8,64
M&M´s® chocolate,colher de sopa,12,9,61
Maçã com casca,unidade pequena,90,14,58
"Maçã, suco de",copo,200,22,97
Macadâmica natural,colher de sopa,15,3,97
Macarrão à bolonhesa,escumadeira cheia,110,22,136
Macarrão ao alho e óleo,escumadeira cheia,110,35,241
Macarrão caseiro cozido,colher de arroz cheia,50,11,54
Macarrão instantâneo Maggi® lámen queijo,pacote,80,50,370
Macarrão mini fusilli picolini Barrila®,prato,80,59,280
Macaúba crua,2 unidades,100,14,404
Maizena,colher de sopa cheia,20,17,70
Mamão formosa,fatia média,100,12,45
Mamão papaya,meia unidade,160,16,64
Mamão papaya,colher de sopa cheia,40,3,14
"Mamão verde, doce de",colher de sopa cheia,40,19,78
Mandioca cozida (picada),colher de sopa cheia,30,9,37
Mandioca frita,pedaço grande,100,50,300
Mandioquinha,colher de sopa,25,5,20
Mané pelado,pedaço médio,70,37,226
Manga espada,unidade média,140,22,91
Manjar,fatia media,90,36,255
Manteiga,colher de sopa cheia,32,0,235
Maracujá,unidade média,45,6,31
Margarina,colher de sopa cheia,32,0,219
Maria mole,porção,44,33,132
Marmelada,fatia média,60,40,158
Marreco recheado assado,1/4 unidade,100,3,258
Marron-glacê,fatia média,60,35,149
Marshmelow Dr. Oetker®,colher de sopa cheia,10,9,40
Martini,dose,50,2,41
Massa fresca semipronta para pizza,unidade (inteira),140,80,441
Massa fresca semipronta para pizza brotinho,unidade,40,23,126
Massa pronta para pastel,2 discos de massa,30,16,83
Matrinxã inteiro cru,pedaço médio,100,0,246
McChicken (Mc’ Donalds®),unidade,177,40,424
McColosso caramelo (Mc’ Donalds®),unidade,142,52,291
McColosso chocolate (Mc’ Donalds®),unidade,137,47,274
McFish (Mc’ Donalds®),unidade,151,37,362
McFlurry ovomaltine (Mc’ Donalds®),unidade,200,68,425
McNífico (Mc’ Donalds®),unidade,282,37,600
McNuggets 10 (Mc’ Donalds®),porção de 10 unidades,166,27,431
McNuggets 4 (Mc’ Donalds®),porção de 4 unidades,66,11,173
McNuggets 6 (Mc’ Donalds®),porção de 6 unidades,,16,259
Melabie,1 porção,100,25,162
Melado,colher de sopa,16,12,47
Melancia,fatia média,200,11,48
Melão,fatia grande,115,7,32
Melão cantalupo,porção,100,8,34
Melão gaúcho,fatia pequena,100,7,29
Merengue de morango,porção média,60,52,214
Merluza assada,filé médio,100,0,122
Michui de Filé Mingnon,1 porção,100,2,88
Michui de frango,porção,100,1,132
Michui de Frango,1 porção,100,2,90
Milho em espiga com 1 c.sobremesa de manteiga,unidade,100,32,233
Milho verde em conserva enlatado,colher de sopa cheia,24,5,23
Milk shake clássico de chocolate (Bob’s®),copo grande,700,177,846
Milk shake clássico de morango (Bob’s®),copo grande,700,136,734
Milk shake crocante de ovomaltine (Bob’s®),copo grande,700,157,852
Milk shake de baunilha,copo de milk shake,290,51,330
Milk shake de chocolate,copo de milk shake,290,61,350
Minestrone (sopa),porção,300,23,283
Mingau (média),colher de sopa cheia,37,8,50
Mini bolacha sabor chocolate Trakinas®,unidade,12,8,58
Mini bomba de avelã Cristallo®,unidade,15,6,41
Mini Bomba de Caramelo,unidade,10,3,25
Mini Bomba de Chocolate,unidade,10,2,23
Mini bomba de chocolate Cristallo®,unidade,15,6,43
Mini cenouras,xícara de café,125,13,54
Mini churro de doce de Leite (Habib’s®),unidade,20,9,56
Mini hamburguinho,unidade,60,15,123
Mini hot dog,unidade,60,15,165
Mini kibe frito de cremilly (Habib’s®),unidade,45,8,101
Mini pizza,unidade,60,20,182
Mini Torta de Limão,unidade,10,5,32
Mini Torta de Maçã,unidade,10,3,21
Mini Torta de Morango,unidade,10,3,21
Miojo sabor carne suave Nissin®,pacote,85,49,374
Miojo sabor galinha Nissin®,pacote,85,50,369
Miojo sabor legumes Nissin®,pacote,85,51,372
Miolos,colher de sopa cheia,25,0,30
Missoshiro,porção,300,9,70
Misto-quente,unidade,85,29,283
"Miúdos de boi (dobradinha, livrelho)",colher de sopa cheia,35,0,44
Mix de frutas desidratadas Frutolla®,2 colheres de sopa,25,6,34
Mjadra,1 porção,52,52,314
Moela,unidade média,18,0,29
Molho à bolonhesa,colher de sopa cheia,22,2,41
Molho agridoce (Mc’ Donalds®),porção,28,10,45
Molho barbecue MasterFoods®,2 colheres de sopa,25,5,18
Molho barbecue (Mc’ Donalds®),porção,28,10,46
Molho branco,colher de sopa,35,5,70
Molho caipira (Mc’ Donalds®),porção,28,6,50
Molho caseiro azeite/vinagre,colher de sopa cheia,13,0,113
Molho de alho calve,colher de sopa cheia,15,2,55
Molho de iogurte,01 colher de sopa,15,2,12
Molho de mostarda light,colher de sopa,15,1,10
Molho de pimenta,colher de sopa cheia,35,3,12
Molho de queijo com ervas light,colher de sopa,13,1,8
Molho de tomate sabor pizza Pomarola®,colher de sopa,20,2,8
Molho de tomate tradicional 340g Fugini®,colher de sopa,20,3,13
Molho de tomate tradicional 340g Tarantella®,colher de sopa,20,2,8
Molho de tomate tradicional 340g Pomarola®,colher de sopa,20,2,8
Molho inglês,colher de sopa cheia,6,1,6
Molho madeira Uncle Ben’s®,colher de sopa,30,3,13
Molho para carnes madeira 340g Predilecta®,3 colheres de sopa,60,5,23
Molho para salada tipo caesar Masterfoods®,colher de sopa,13,2,25
Molho pesto Genovese 190 g Barilla®,3 colheres de sopa,60,2,320
Molho pra salada tipo caesar ( Masterfoods®),colher de sopa,13,2,25
Molho pronto de pesto Hemmer®,colher de sopa,20,2,105
Molho shoyo,colher de sopa,6,1,5
Molho tártaro gourmet,colher de sopa,20,1,105
Molho vermelho light,colher de sobremesa,14,1,10
Mondongo (dobradinha),concha pequena,100,8,111
Moqueca de ovos,porção,85,3,116
Moqueca de peixe,porção,185,4,218
Morango,unidade média,12,1,5
Mortadela,fatia média,15,0,41
Mostarda folha cozida,colher de sopa cheia,45,2,12
Mousse de chocolate,colher de sopa cheia,25,8,79
Mousse de maracujá,colher de sopa cheia,35,11,100
Mucilon de arroz,colher de sopa cheia,9,8,34
Mucilon de milho,colher de sopa cheia,9,8,34
Muffin de banana Suavipan®,unidade,40,20,141
Mungunzá,concha,150,29,150
Nabo cozido (picado),colher de sopa cheia,18,1,5
Namorado cozido,filé médio,100,0,121
Néctar de manga Dell Valle®,caixinha,200,30,118
Nectarina,unidade média,100,12,49
Nescau®,colher de sopa cheia,16,14,61
Nêspera,unidade grande,40,4,20
Nesquick em pó Nestlé®,colher de sopa cheia,16,15,63
"Nesquick® preparado, caixinha de",1 und,200,29,170
Neston®,colher de sopa cheia,8,6,29
Nhoque,01 escumadeira cheia,100,21,120
Niguiri sushi de atum,unidade,30,10,59
Niguiri sushi de kani,unidade,30,10,51
Niguiri sushi de kani,unidade,30,10,51
Niguiri sushi de salmão,unidade,30,10,57
Ninho® soleil morango (bebida láctea),unidade,200,31,170
Nozes,01 unidade média,5,1,35
Nuggets de frango tradicional Sadia®,unidade,25,3,53
Nuggets de legumes Sadia®,unidade,21,5,36
Nuggets de peixe Sadia®,unidade,23,4,41
Nutella®,colher de sopa,20,11,106
Óleos vegetais,colher de sopa cheia,8,0,72
Olho de Sogra,unidade,10,5,34
Omelete,um ovo,65,2,110
Onion rings (Burguer King®),porção,,5,319
Ovo de codorna,unidade,10,0,16
Ovo de galinha inteiro (cozido),unidade média,45,0,71
"Ovo de galinha, clara cozida",unidade média,30,0,15
"Ovo de galinha, gema cozida",unidade média,15,0,53
Ovo de Páscoa (média),1 pedaço médio,25,15,134
Ovo de Páscoa Amandita®,porção,25,15,135
Ovo de Páscoa Bis®,porção,25,15,130
Ovo de páscoa Diamante Negro®,porção,25,16,128
Ovo de Páscoa Ferrero Rocher®,porção,25,9,151
Ovo de Páscoa Kinder Ovo Maxi®,porção,25,13,143
Ovo de Páscoa Lacta®,porção,25,15,131
Ovo de Páscoa Lacta® Diet,porção,25,15,111
Ovo de Páscoa Shot®,porção,25,14,134
Ovo de Páscoa Sonho de Valsa®,porção,25,15,134
Ovomaltine®,colher de sopa cheia,14,12,53
Paçoca,unidade,30,20,115
Paçoca diet Airon®,unidade,20,7,79
Pacu inteiro cru,pedaço médio,100,0,292
Paio,unidade,160,5,363
Palmito em conserva,colher de sopa cheia,15,1,3
Pamonha,unidade,160,69,413
Pamonha doce,unidade pequena,130,47,335
Panettone frutas,fatia pequena,25,14,88
Panqueca carne,unidade média,80,18,229
Panqueca de batata (Kartoffelpuffer®),unidade média,30,22,97
Pão alemão integral (Wickbold®),1/2 unidade,50,17,99
Pão careca doce,unidade,50,28,134
Pão colonial italiano,fatia grande,50,27,128
Pão com tucumã,unidade,85,28,241
Pão de batata-inglesa,unidade média,50,29,137
Pão de cachorro-quente,unidade,58,31,170
Pão de centeio integral,unidade média,50,23,116
Pão de forma branco,unidade,25,12,62
Pão de forma de aveia,unidade,25,11,59
Pão de forma de centeio,unidade,27,13,75
Pão de hambúrguer,unidade,70,40,188
Pão de leite,unidade,54,30,149
Pão de mel,unidade média,15,13,76
Pão de mel doce de leite Cacau Show®,unidade,50,30,190
Pão de milho caseiro,fatia média,70,43,200
Pão de milho com 50% de farinha de trigo,unidade,70,42,204
Pão de milho de forma Panco®,unidade,32,19,96
Pão de milho industrializado,unidade,70,43,201
Pão de passas,unidade,50,26,136
Pão de queijo,unidade pequena,20,9,87
Pão de queijo light Forno de Minas®,unidade média,27,9,55
Pão de torresmo,fatia,70,33,375
Pão doce,unidade,50,28,134
Pão francês,unidade,50,28,135
Pão italiano,01 fatia,50,28,125
Pão ligth de quinua Sonda®,2 fatias,50,21,114
Pão sírio integral Pita Bread®,unidade,53,11,53
Pão sírio Pita Bread®,unidade média,58,33,158
Papinha de banana e aveia Nestlé®,pote,120,24,104
Papinha de carne com legumes Nestlé®,pote,155,9,83
Pasta de atum,colher de sopa cheia,35,2,112
Pasta de tofu,colher de sopa cheia,26,2,45
Pastel de belém (Habib´s®),unidade,50,14,107
Pastel de carne,unidade média,32,5,84
Pastel de queijo,unidade média,25,5,75
Pastel de queijo de forno,unidade grande,40,15,185
Pastel português,unidade média,35,10,149
Pastelzinho,unidade pequena,8,3,24
Patê de atum Coqueiro®,colher de chá,10,0,17
Patê de atum ligth Gomes da Costa®,colher de chá,10,1,12
"Patê de Foie Gras, enlatado, defumado",01 colher de cha cheia,8,0,22
Patê de frango com ervas finas Excelsior®,colher de chá,10,1,20
Patê de peito de peru defumado Sadia®,colher de chá,10,0,22
Patê de salmão Gomes da Costa®,colher de chá,10,0,15
Pato no tucupi assado,sobrecoxa,100,3,303
Pavê de chocolate,pedaço médio,85,16,154
Pavê de chocolate branco Amor aos Pedaços®,fatia,60,20,208
Pave de cholocale ao leite,2 colheres de copa cheias,85,34,200
Pé-de-moleque,unidade média,17,10,88
Pé-de-moleque (Norte),pedaço médio,100,45,336
Pé-de-moleque diet Airon®,unidade média,14,6,61
Pé-de-moleque Santa Helena*®,unidade,17,10,88
Peito de peru defumado ligth Sadia®,fatia,20,0,21
Peito de peru defumado Perdigão®,fatia,25,0,41
Peixe de água doce cozido (média),filé médio,120,0,117
Peixe do mar cozido (média),filé médio,120,0,117
Peixe grelhado,1 posta ou filé,100,0,180
Peixe na telha,posta média,230,7,262
Pepino com casca (picles),1/4 xícara de chá,50,2,12
Pepino cru,fatia pequena,3,0,1
Pequi refogado,4 unidades médias,70,9,143
Pêra crua,unidade média,130,19,80
Pernil assado,1 fatia,100,"1,7",94
Pernil suíno temperado seara®,2 ¹/² fatia,100,2,140
Peru (carne branca assada),pedaço médio,32,0,57
Pescada inteira crua,pedaço médio,100,0,111
Pêssego amarelo,unidade média,60,6,29
Pessego em calda,01 metade,30,6,25
Picolé abacaxi Kibon®,unidade,59,16,65
Picolé chicabon Kibon®,unidade,65,19,106
Picolé de coco la frutta Nestlé®,unidade,58,13,90
Picolé de morango la frutta Nestlé®,unidade,60,8,36
Picolé de uva la frutta Nestlé®,unidade,61,15,62
Picolé fruttare limão Kibon®,unidade,58,13,51
Picolé mega clássico Nestlé®,unidade,77,22,238
Picolé mega trufas Nestlé®,unidade,77,27,258
Pimenta-malagueta,colher de sopa cheia,15,1,6
Pimentão,colher de sopa cheia,13,1,7
Pinhão,01 unidade média,10,5,25
Pipoca doce,saco medio,20,20,95
Pipoca no óleo/manteiga com sal,saco médio,20,14,90
Pipoca salgada,saco médio,20,14,90
Piquiá,unidade pequena,50,15,179
Pirão de farinha de mandioca,colher de sopa cheia,30,9,36
Pirarucu,filé médio,100,0,120
Pirarucu de casaca,escumadeira cheia,110,25,293
Pirulito,unidade,20,19,74
Pistache,unidade,1,0,4
Pitanga,unidade,15,1,7
Pitaya,unidade,200,14,84
Pizza Brasileira,fatia média,111,25,268
Pizza Califórnia,fatia média,100,26,213
Pizza de Alcachofra,fatia média,100,21,273
Pizza de atum,fatia média,100,21,258
Pizza de bacon,fatia média,100,22,288
Pizza de bacon com requeijão,fatia média,123,26,244
Pizza de banana com canela,fatia média,100,40,207
Pizza de brigadeiro,fatia média,100,59,402
Pizza de calabresa,fatia média,100,21,240
Pizza de camarão,fatia média,100,21,268
Pizza de champignon,fatia média,100,22,222
Pizza de chocolate ao leite,fatia média,100,54,483
Pizza de chocolate branco,fatia média,100,41,443
Pizza de doce de leite,fatia média,100,51,423
Pizza de Escarola,fatia média,100,22,294
Pizza de frango,fatia média,100,22,229
Pizza de frango com catupiry,fatia média,111,25,274
Pizza de marguerita,fatia média,119,27,274
Pizza de mussarela,fatia média,100,22,278
"Pizza de mussarela de búfala, rúcula e tomate seco",fatia média,100,22,165
Pizza de palmito com mussarela,fatia média,100,25,220
Pizza de pepperoni,fatia média,102,26,274
Pizza de portuguesa,fatia média,125,24,246
Pizza de Prestígio,fatia média,100,55,420
Pizza de quatro queijos,fatia média,100,27,277
Pizza de Romeu e Julieta,fatia média,100,27,266
Pizza de Rúcula,fatia média,100,22,255
Pizza Napolitana,fatia média,100,20,207
Pizza Toscana,fatia média,100,20,227
Pizza Vegetariana,fatia média,111,22,192
Polenguinho,unidade,20,0,67
Polenta com molho de carne,escumadeira,100,8,59
Polenta cozida,pedaço médio,30,3,20
Polenta frita,pedaço pequeno,20,2,18
Polenta mole,01 concha pequena,100,8,59
Polpetone a parmeggiana,01 unidade,150,12,280
Polvilho,colher de sopa cheia,16,14,56
Polvo cru,porção,200,4,160
Porco frito com rodelas de limão,porção,100,0,311
Prato do chef picanha 160g (Bob’s®),porção,300,29,608
Prato primavera (Habib’s®),unidade,435,27,460
Prato verão (Habib’s®),unidade,330,35,420
Premium salad (Mc’Donalds®),porção,,3,104
Premium salad crispy (Mc’Donalds®),porção,,17,317
Premium salad grill (Mc’Donalds®),porção,,3,227
Presunto cozido,fatia média,15,0,22
Presunto de peru,fatia média,15,0,15
Pringles® original,unidade,2,1,10
Pringles® sabor cebola,unidade,2,1,10
Pudim de leite,fatia média,50,12,91
Pudim de passas,fatia média,50,14,95
Pudim de tapioca,fatia grande,110,19,263
Pudim de tapioca com leite condensado,fatia grande,90,40,150
Pupunha,unidade média,25,5,41
Purê de batata,colher de sopa cheia,45,8,56
Purê de inhame,colher de sopa cheia,40,7,49
Purê de tomate,colher de sopa cheia,45,5,22
Quarteirão (Mc’ Donalds®),unidade,,35,533
Queijadinha de coco,unidade média,35,9,72
Queijo de coalho em espeto,unidade,30,0,100
Queijo gorgonzola nacional,fatia média,38,0,151
Queijo mussarela,fatia média,15,0,42
Queijo parmesão,01 pedaço pequeno,15,0,54
Queijo parmesão nacional,colher de sopa cheia,15,0,61
Queijo prato,fatia média,15,0,60
Queijo provolone nacional,fatia média,15,0,51
Queijo roquefort nacional,fatia média,30,0,120
Queijo suiço,fatia média,30,0,120
Queijo tipo requeijão,fatia média,30,0,89
Queijo tipo ricota nacional,fatia média,30,0,54
Queijo tofu,pedaço pequeno,10,0,7
Queijo-de-minas frescal,fatia média,30,0,73
Queijo-de-minas frescal light,fatia média,30,0,46
Quentão,1/2 copo,100,34,295
Quiabo cozido sem sal,colher de sopa cheia,40,3,15
Quibe assado,porção,100,15,172
Quibe frito (Habib’s®),unidade,85,14,152
Quiche de Presunto e Queijo,unidade,50,10,259
Quiche de queijo,01 unidade pequena,30,11,227
Quindim,unidade média,35,15,111
Quinua em flocos Mãe Terra®,1/2 xícara de chá,40,29,159
"Rã, carne de (desfiada)",colher de sopa cheia,10,0,7
Rabada crua,unidade média,40,0,155
Rabanada,unidade média,60,48,249
Rapadura,pedaço médio,55,48,194
Ratatouille,porção,107,6,77
Ravióli de carne,escumadeira,50,26,141
Ravióli de carne,escumadeira,50,26,141
Ravióli de mussarela,01 escumadeira cheia,100,20,210
Ravióli de queijo,escumadeira,50,19,149
Refrigerante,copo duplo,240,24,96
Refrigerante citrus (Schweppes®),lata,350,42,170
Refrigerante dietético,copo duplo cheio,240,0,1
Repolho cozido (picado),colher de sopa cheia,10,0,1
Repolho cru (picado),colher de sopa cheia,10,0,2
Requeijão comum,colher de sopa cheia,30,0,106
Requeijão cremoso,colher de sopa cheia,30,1,106
Requeijão cremoso light,colher de sopa cheia,30,1,54
Risole de Queijo,unidade,50,8,112
Risoto,colher de sopa cheia,25,5,41
Risoto a milanes,01 colher de sopa cheia,25,19,95
Risoto de camarão,01 colher de sopa cheia,25,6,45
Risoto de frango,colher de sopa cheia,25,6,45
Roll cake de chocolate,unidade,38,22,143
Romã,unidade,150,23,84
Rosquinhas de leite,unidade média,7,4,27
Sagu,colher de sopa cheia,20,17,70
Sagu com creme de baunilha,porção,100,37,159
Sakemaki,unidade,15,3,22
Salad caesar (Burguer King®),porção,,2,53
Salada (Mc’Donalds®),porção,,1,8
Salada agadir,porção,100,3,167
Salada Agadir,porção,100,3,"167,23"
Salada almanara®,porção,100,12,292
Salada Almanara®,porção,100,12,293
Salada caesar (Bob’s®),porção,100,5,74
Salada de atum (sanduiche) -Bob’s®,unidade,154,25,377
Salada de batata com maionese,colher de sopa cheia,38,7,58
Salada de batatas (Kartoffelsalat®),colher de sopa cheia,30,5,82
Salada de frango (sanduiche) - Bob’s®,unidade,154,25,356
Salada de frutas,colher de sopa cheia,20,3,10
Salada de frutas,01 potinho pequeno,120,18,65
Salada de frutas completa,taça pequena,100,13,52
Salada de legumes com maionese,colher de sopa cheia,35,5,34
Salada tropical (Bob’s®),porção,99,7,26
Salada tropical com tiras de hamburguer (Bob’s®),porção,277,10,289
Salada verde (Burguer King®),porção,,1,115
Salame,fatia média,20,0,59
Salgadinho de soja Jasmine®,colher de sopa,20,4,98
Salgadinho Pingo d’ouro sabor baicon Elma Chips®,colher de sopa cheia,20,11,100
Salmão defumado,porção,100,20,233
Salmão grelhado,1 filé pequeno,100,0,171
Salpicão de frango,colher de sopa cheia,25,2,61
Salsão/aipo cru,colher de sopa cheia,15,0,3
Salsicha comum,unidade média,35,0,116
Salsicha de frango Sadia®,unidade média,35,1,74
Salsicha de peru light Sadia®,unidade média,35,1,58
Salsicha envasada (em conserva),unidade média,35,0,64
Salsichão,unidade média,100,3,312
Salsichão (Wurst®),unidade média,100,3,312
Sanduíche americano,unidade média,190,28,278
Sanduiche de almondegas (Subway®),porção de 15cm,379,61,498
Sanduíche de atum,unidade média,120,33,372
Sanduiche de atum (Subway®),porção de 15cm,260,56,414
Sanduiche de BNT (Subway®),porção de 15cm,237,47,420
Sanduiche de carne (Subway®),porção de 15cm,249,46,386
Sanduiche de churrasco (Subway®),porção de 15cm,266,48,447
Sanduíche de frango,unidade média,120,33,299
Sanduiche de frango (Subway®),porção de 15cm,241,46,315
"Sanduiche de frango defumado c/ cream cheese
(Subway®)",porção de 15cm,259,47,450
Sanduiche de frango teriyaki (Subway®),porção de 15cm,283,61,379
Sanduiche de frutos do mar (Subway®),porção de 15cm,260,63,413
Sanduiche de italiano (Subway®),porção de 15cm,222,47,404
Sanduiche de mussarela de búfala (Subway®),porção de 15cm,261,55,450
Sanduiche de peito de peru (Bob’s®),unidade,161,25,278
Sanduiche de peito de peru (Subway®),porção de 15cm,234,47,300
Sanduiche de pizza sub (Subway®),porção de 15cm,250,50,418
Sanduiche de pizzaiolo (Subway®),porção de 15cm,215,48,331
Sanduiche de presunto (Subway®),porção de 15cm,222,46,286
Sanduiche de presunto e peito de peru (Subway®),porção de 15cm,245,47,312
Sanduiche de rosbife (Subway®),porção de 15cm,237,46,315
Sanduiche de subway club TM (Subway®),porção de 15cm,275,47,350
Sanduiche de subway melt TM (Subway®),porção de 15cm,270,47,419
Sanduíche natural,unidade média,120,29,265
Sanduíche queijo quente,unidade,85,33,300
Sanduiche vegetariano (Subway®),porção de 15cm,177,46,239
Sapoti,unidade pequena,60,16,58
Saquê,dose,50,3,11
Sardinha assada,porção,100,0,164
Sardinha enlatada em molho de tomate,unidade média,33,0,63
Sardinha enlatada em óleo,unidade média,33,0,65
Sardinha frita,unidade média,33,1,120
Sardinha inteira crua,porção,100,0,144
Sashimi de atum,fatia,10,0,15
Sashimi de salmão,fatia,10,0,15
Shitake frito,01 colher de sopa,10,7,50
Shoyo,colher de sopa cheia,12,1,9
Siri,unidade pequena,16,0,15
Soja cozida,colher de sopa cheia,17,2,29
Sopa caldo verde,concha média,130,7,80
Sopa de cebola (creme),concha média,130,6,58
Sopa de cogumelo (creme),concha média,130,12,139
Sopa de creme de ervilha enlatada,concha média,130,27,152
Sopa de ervilha,concha média,130,26,165
Sopa de espinafre (creme),concha média,130,5,110
Sopa de feijão branco,concha média,130,18,126
Sopa de frango,concha média,130,3,46
Sopa de legumes com carne,concha média,130,8,100
Sopa de lentilhas enlatada,concha média,130,16,108
Sopa de macarrão,concha média,130,19,132
Sopa de milho na mateiga 19g Knorr Quick®,unidade,19,12,77
Sorvete massa de morango Nestlé®,bola grande,100,27,186
Sorvete (casquinha) baunilha (Bob’s®),unidade,124,39,220
Sorvete copo light Kibon®,unidade,63,4,39
Sorvete copo sundae morango Kibon®,unidade,84,25,164
Sorvete cornetto brigadeiro Kibon®,unidade,79,23,239
Sorvete cornetto caramelo Kibon®,unidade,75,28,224
Sorvete cornetto crocante Kibon®,unidade,72,27,247
Sorvete de casquinha baunilha (Mc’Donalds®),unidade,,32,192
Sorvete de casquinha chocolate (Mc’Donalds®),unidade,,31,192
Sorvete de casquinha mista (Mc’Donalds®),unidade,,31,192
Sorvete de flocos Nestlé®,bola,60,14,121
Sorvete de frutas,unidade,50,15,63
Sorvete de massa crocante crunch Nestlé®,bola grande,100,36,187
Sorvete de massa de abacaxi Nestlé®,bola média,80,27,161
Sorvete de massa de chiclete Nestlé®,bola grande,100,25,195
Sorvete de massa de creme Nestlé®,bola média,80,20,144
Sorvete eskibon Kibon®,unidade,48,12,159
Sorvete la fruta Nestlé®,bola grande,100,27,108
Sorvete massa galak Nestlé®,bola média,80,20,162
Sorvete moça doce de leite Nestlé®,bola grande,100,27,181
Sorvete moça fiesta brigadeiro Neslté®,bola grande,100,31,221
Sorvete prestígio Nestlé®,bola grande,100,24,229
Sorvete sedução manjar branco Nestlé®,bola grande,100,27,195
Sorvete sedução mousse chocolate Nestlé®,bola grande,100,36,230
Sorvete sedução romeu e julieta Nestlé®,bola grande,100,29,185
Sorvete sem parar Nestlé®,unidade copo,110,39,217
Sorvete troppo chocolate Nestlé®,unidade,79,25,224
Sorvete troppo crocante Nestlé®,unidade,76,29,229
Sorvete troppo flocos Nestlé®,unidade,76,28,214
Sorvete troppo morango Nestlé®,unidade,79,30,942
Spaghetti ao sugo,01 pegador,110,22,170
Steak tartare,01 porção pequena,100,2,199
SteakhouseTM burguer (Burguer King®),unidade,,57,936
SteakhouseTM junior (Burguer King®),unidade,,33,560
Strogonoff de carne,colher de sopa cheia,25,0,43
Strogonoff de frango,colher de sopa cheia,25,0,50
Strudel de Amêndoas (Hungaria®),porção pequena,100,45,285
Strudel de Frango com Catupiry (Hungaria®),porção pequena,100,31,546
Strudel de frango com catupiry Hungaria®,porção pequena,100,31,546
Strudel de maçã,fatia grande,220,59,396
Strudel de Maçã (Hungaria®),porção pequena,100,30,157
Suco de abacaxi com açúcar,copo duplo cheio,240,25,103
Suco de acerola com açúcar,copo duplo cheio,240,14,62
Suco de laranja (envasado),copo duplo cheio,240,26,116
Suco de laranja (fresco),copo duplo cheio,240,31,140
Suco de laranja Del Valle®,copo grande,300,29,116
"Suco de laranja,cenoura sem açúcar",copo duplo cheio,240,31,137
Suco de mamão com açúcar,copo duplo cheio,240,22,91
Suco de manga com açúcar,copo duplo cheio,240,23,96
Suco de manga light Dell Valle®,copo,200,9,37
Suco de maracujá com açúcar,copo duplo cheio,240,17,70
Suco de melão com açúcar,copo duplo cheio,240,20,82
Suco de morango,copo duplo cheio,240,11,52
